id,y__abs_energy,"y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",y__ar_coefficient__coeff_3__k_10,y__count_above_mean,"y__fft_aggregated__aggtype_""centroid""",y__index_mass_quantile__q_0.1,y__number_peaks__n_1,y__ratio_beyond_r_sigma__r_1.5
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---2,1.2911552344823429e-05,-0.0421226396682517,-0.0002639205411487,13.0,745.5976201399287,0.112,895.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---3,1.2911552344823429e-05,-0.0421226396682517,-0.0002639205411487,13.0,745.5976201399287,0.112,895.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---4,4.910639554939461e-05,-0.0218183915181533,-0.0011569951726588,5.0,747.4440025554562,0.063,932.0,0.0013333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---5,1.2911552344823429e-05,-0.0421226396682517,-0.0002639205411487,13.0,745.5976201399287,0.112,895.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---6,1.5838311523789373e-05,-0.06635183538398,-0.0003836119412451,15.0,745.9541135829779,0.0776666666666666,895.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---7,1.5838311523789373e-05,-0.06635183538398,-0.0003836119412451,15.0,745.9541135829779,0.0776666666666666,895.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---8,4.910639554939461e-05,-0.0218183915181533,-0.0011569951726588,5.0,747.4440025554562,0.063,932.0,0.0013333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2---9,3.649159210334976e-05,0.0119559413646666,-0.0007491063969034,6.0,747.0026909221842,0.1026666666666666,901.0,0.0013333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---1,0.0002282185720348,-0.1580178891378392,0.0670403487498631,513.0,388.6757608997182,0.0916666666666666,947.0,0.107
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---2,0.0002250558948555,-0.0164208118372925,0.0886642714339251,523.0,494.7738942290633,0.093,936.0,0.0333333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---3,0.0002201298132593,-0.1254356074294957,0.0825975134887603,533.0,434.2162335939014,0.0913333333333333,930.0,0.1233333333333333
