id,y__abs_energy,y__absolute_maximum,y__absolute_sum_of_changes,y__ar_coefficient__coeff_8__k_10,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---7,10.943654329616002,0.074249,0.0627190000000007,0.0065424150651685,9.55758281217708e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---28,10.948601008275,0.074336,0.1889529999999999,-0.0028601550699052,9.103744479593147e-06
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---29,10.948601008275,0.074336,0.1889529999999999,-0.0028601550699052,9.103744479593147e-06
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---3,10.959037210522002,0.07431,0.1545679999999995,0.0207358078480418,-0.0001134342662634
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---9,10.965822619922,0.074315,0.1325580000000009,0.0100303147323325,3.231401326237508e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---0,328.16255476209795,0.407155,1.0493079999999997,0.0083560206279826,-0.0003997125267754
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---1,355.260252556915,0.422397,1.369299999999999,0.0445914129171932,0.002348879985749
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---10,340.5615926611599,0.42092,5.390460999999998,0.0071562334006954,-0.0006164376903057
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---20,340.5615926611599,0.42092,5.390460999999998,0.0071562334006954,-0.0006164376903057
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---29,340.5615926611599,0.42092,5.390460999999998,0.0071562334006954,-0.0006164376903057
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---11,355.1013594901321,0.422394,1.1767199999999949,0.0323014991465293,-0.0022721299283522
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---16,336.67523784899777,0.413055,0.3329189999999929,-0.1893521260890106,0.0015364674362237
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---26,336.67523784899777,0.413055,0.3329189999999929,-0.1893521260890106,0.0015364674362237
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---13,343.339863430099,0.421334,5.646402999999999,0.0244626324417687,0.0007914020657723
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---28,343.339863430099,0.421334,5.646402999999999,0.0244626324417687,0.0007914020657723
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---14,330.97779974157595,0.417309,1.5609850000000025,-0.1088880612393142,-0.0040115939454957
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---4,338.8080474485712,0.42412,0.2458610000000006,-0.0484586101477841,0.0025659782503144
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---18,336.5849317355137,0.411431,0.1360730000000033,-0.0180346089132466,0.0001267626301188
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---21,336.5792247148757,0.412681,0.123689000000005,-0.0041521705622811,0.0003040501955915
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---22,336.6808885749498,0.411503,0.3552229999999933,-0.1172084367413426,0.0001592860703809
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---23,338.4709670667521,0.420165,1.2010040000000093,0.0530811573843833,0.0038855412133152
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---25,344.851450209535,0.421295,7.253048999999997,-0.0512759349958293,-0.0029090765107654
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---27,343.37219264002897,0.421338,6.149305,0.0200222422527879,9.412741222309092e-06
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---5,336.67804990266484,0.413395,0.1511610000000091,-0.0072055464241524,-7.11048383657414e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---6,336.67804990266484,0.413395,0.1511610000000091,-0.0072055464241524,-7.11048383657414e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---8,336.4175071405813,0.414272,0.0337490000000083,-0.0212268067687964,1.073163300822999e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#nbody---9,342.63053353882793,0.421303,6.449289999999998,-0.0273818208861438,-0.0010837757790444
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---4,1187.88299855407,0.771919,0.6817800000000025,-0.009002759199548,0.0009033146158609
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---1,1147.084810352495,0.758381,0.4158559999999984,0.0056595697853385,-8.38796333002805e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---12,1147.084810352495,0.758381,0.4158559999999984,0.0056595697853385,-8.38796333002805e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---14,1147.084810352495,0.758381,0.4158559999999984,0.0056595697853385,-8.38796333002805e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---10,1161.471697259511,0.820688,1.662940999999999,-0.061707488984648,-2.882213363252584e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---7,1161.471697259511,0.820688,1.662940999999999,-0.061707488984648,-2.882213363252584e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---11,1157.7977669772258,0.76198,0.6713359999999988,-0.0080878828691093,0.0002319941557462
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---9,1157.7977669772258,0.76198,0.6713359999999988,-0.0080878828691093,0.0002319941557462
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---13,1187.64225931004,0.771799,0.7261720000000033,0.0090449792126115,-0.0002010094772659
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---15,1160.231934607101,0.818084,1.453075999999999,-0.0208775992519344,0.0001349446779167
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---18,1160.4736452400653,0.762449,0.3436419999999984,0.0027387092882247,-0.0004506052377138
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---21,1160.4736452400653,0.762449,0.3436419999999984,0.0027387092882247,-0.0004506052377138
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---27,1160.4736452400653,0.762449,0.3436419999999984,0.0027387092882247,-0.0004506052377138
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---17,1147.0664971500032,0.757912,0.3079399999999995,0.0177437238032696,-0.0002119999616094
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---19,1157.5394529902778,0.762055,0.6805009999999988,0.0246496531428519,1.795331461907484e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---2,1423.29813757904,0.850047,0.7468450000000021,-0.0143477516094453,-0.0007146563134845
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---20,1145.9788434759569,0.76414,1.3058249999999978,-0.0074784308093721,0.0003576832732701
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---23,1157.076623387616,0.773353,0.7087020000000042,0.012891602410552,-0.0002176871813125
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---24,1204.63756789541,0.835571,1.0474460000000012,-0.0424724305939614,-7.120862199633297e-05
