id,"y__fft_coefficient__attr_""real""__coeff_48",y__value_count__value_1,"y__fft_coefficient__attr_""imag""__coeff_67",y__count_below__t_0,"y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","y__fft_coefficient__attr_""real""__coeff_23","y__fft_coefficient__attr_""imag""__coeff_37","y__fft_coefficient__attr_""angle""__coeff_3","y__fft_coefficient__attr_""real""__coeff_28",y__number_crossing_m__m_0,y__symmetry_looking__r_0.7000000000000001,"y__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","y__fft_coefficient__attr_""imag""__coeff_88","y__fft_coefficient__attr_""angle""__coeff_16","y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","y__fft_coefficient__attr_""abs""__coeff_86","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","y__fft_coefficient__attr_""angle""__coeff_92","y__fft_coefficient__attr_""real""__coeff_25","y__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_65","y__fft_coefficient__attr_""abs""__coeff_87","y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","y__fft_coefficient__attr_""real""__coeff_24","y__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","y__fft_coefficient__attr_""angle""__coeff_25",y__has_duplicate_min,y__energy_ratio_by_chunks__num_segments_10__segment_focus_5,y__symmetry_looking__r_0.1
warmup_results_0_8_linux3_e3_1240___C-default-c.json#spectralnorm---20,-0.0059683440697652,0.0,-0.0193106814533245,0.0,0.0001175637818909,0.0070086802380784,-0.0424902728433337,-87.17278036923294,-0.0178487128692129,0.0,1.0,2.008467436333076e-09,-0.0014140754058325,71.17510707487843,6.620941720556285e-08,0.0161028778800753,1.6722641838806108e-08,3.630113636363371e-05,-162.49444361395066,0.0083043232207034,0.3998596694090788,-0.02163266957711,0.0297618616325312,-0.8650042380916406,-0.0177705270755172,10.0,-83.19599434173827,0.0,0.0994715011434017,0.0
warmup_results_0_8_linux3_e3_1240___C-default-c.json#spectralnorm---3,-0.0059683440697652,0.0,-0.0193106814533245,0.0,0.0001175637818909,0.0070086802380784,-0.0424902728433337,-87.17278036923294,-0.0178487128692129,0.0,1.0,2.008467436333076e-09,-0.0014140754058325,71.17510707487843,6.620941720556285e-08,0.0161028778800753,1.6722641838806108e-08,3.630113636363371e-05,-162.49444361395066,0.0083043232207034,0.3998596694090788,-0.02163266957711,0.0297618616325312,-0.8650042380916406,-0.0177705270755172,10.0,-83.19599434173827,0.0,0.0994715011434017,0.0
warmup_results_0_8_linux3_e3_1240___C-default-c.json#spectralnorm---4,-0.0059683440697652,0.0,-0.0193106814533245,0.0,0.0001175637818909,0.0070086802380784,-0.0424902728433337,-87.17278036923294,-0.0178487128692129,0.0,1.0,2.008467436333076e-09,-0.0014140754058325,71.17510707487843,6.620941720556285e-08,0.0161028778800753,1.6722641838806108e-08,3.630113636363371e-05,-162.49444361395066,0.0083043232207034,0.3998596694090788,-0.02163266957711,0.0297618616325312,-0.8650042380916406,-0.0177705270755172,10.0,-83.19599434173827,0.0,0.0994715011434017,0.0
warmup_results_0_8_linux3_e3_1240___C-default-c.json#spectralnorm---29,0.0015145084397989,0.0,-0.0303269839922826,0.0,0.0001419604802401,0.013013748864236,-0.0502656148178417,-89.67499192798348,0.0131878633674162,0.0,1.0,7.46698022354829e-10,0.0018435953383963,-142.8555258616771,7.674267380795039e-08,0.0125843791476792,3.145403365671606e-09,3.8658227848097765e-05,-93.45385081796792,0.0020252398622952,0.398246105165883,-0.0352928694826925,0.0322508480652185,-0.8667222545452161,-0.0008069718160058,8.0,-88.49923516005474,1.0,0.0994668308025747,0.0
warmup_results_0_8_linux3_e3_1240___C-default-c.json#spectralnorm---5,0.0114794250589447,0.0,-0.0300880322088641,0.0,8.52876438219088e-05,-0.0008852611124939,-0.0517845362911307,-88.7627380565198,0.0125761399679165,0.0,1.0,1.014238737300508e-09,-0.001431759209181,-45.86075364434473,1.7949070788991318e-08,0.0105800866426,2.6129678397014884e-08,3.085020242914739e-05,30.28300730416018,0.0008720320735368,0.3986080514959177,-0.0343202439804611,0.0256839663112575,-0.8629257592385288,0.0113221977832216,5.0,-89.3803732778879,0.0,0.0994341797955817,0.0
warmup_results_0_8_linux3_e3_1240___C-default-c.json#spectralnorm---8,0.0006617839372832,0.0,-0.0277300033719918,0.0,3.6682341170582046e-05,0.0099406137199612,-0.0501317701763499,-89.11606380061278,0.0001761894537088,0.0,1.0,8.889182577634579e-10,-0.0013596386356554,-65.57319165582759,7.335840168306581e-10,0.0026368223957194,2.1242235177612133e-08,2.4356557377044305e-05,-128.51064269611027,0.0116446294556347,0.3995759954403893,-0.0288427144848948,0.0236440589375449,-0.8685830073216401,0.0003662614936444,3.0,-81.16675450033982,0.0,0.0994691353479659,0.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---0,0.5447065700254717,0.0,-0.1734346621374276,0.0,0.0008889139569784,0.6264644405520993,-0.1557323325533197,4.81916027911012,0.6006323219042786,0.0,1.0,4.51903069289982e-06,-0.1850804561611484,-15.805336456636772,8.2074272612922e-08,0.5257135510017187,0.0001545266355062,0.0073884561403508,-21.62150932712052,0.6132412217314704,0.3326498988391759,-0.1643431230664001,0.5213366552336913,0.6276342287297473,0.6236450169551635,26.0,-15.767152687496472,0.0,0.0995042869278932,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---17,0.5447065700254717,0.0,-0.1734346621374276,0.0,0.0008889139569784,0.6264644405520993,-0.1557323325533197,4.81916027911012,0.6006323219042786,0.0,1.0,4.51903069289982e-06,-0.1850804561611484,-15.805336456636772,8.2074272612922e-08,0.5257135510017187,0.0001545266355062,0.0073884561403508,-21.62150932712052,0.6132412217314704,0.3326498988391759,-0.1643431230664001,0.5213366552336913,0.6276342287297473,0.6236450169551635,26.0,-15.767152687496472,0.0,0.0995042869278932,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---1,0.5359986154750022,0.0,-0.1670360470221397,0.0,0.0008648294147073,0.6609313573119162,-0.2187651197672634,7.2115050186865775,0.6352916817109211,0.0,1.0,4.6787843295825615e-06,-0.2140320981305993,-16.220343888347827,3.8827979964152324e-08,0.5364701682587669,0.0001554170211699,0.0063463333333333,-20.504106727278103,0.6634769575192411,0.3387144354538023,-0.1592597851321849,0.5419430906363487,0.7055168253972899,0.6569742002815289,26.0,-17.941036114694626,0.0,0.0995254366052164,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---10,0.5252143206175234,0.0,-0.1674075235971979,0.0,0.0008457398699349,0.6760750178858125,-0.2439508139083883,5.109132190689081,0.6530032503677449,0.0,1.0,4.700067622584541e-06,-0.2005313632076215,-16.12131062837513,6.312925518103886e-08,0.5432508974204139,0.0001543567779402,0.0062778358208955,-23.52668139973977,0.66646372780483,0.3387829758835823,-0.161278750077273,0.5467512145906868,0.6048737581080648,0.6764518690876979,25.0,-18.75478722776569,0.0,0.0994848873790059,1.0
