id,y__large_standard_deviation__r_0.30000000000000004,"y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","y__fft_coefficient__attr_""imag""__coeff_98","y__fft_coefficient__attr_""angle""__coeff_53","y__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_72","y__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",y__has_duplicate_max,"y__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_93",y__symmetry_looking__r_0.9500000000000001,y__large_standard_deviation__r_0.4,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__large_standard_deviation__r_0.05,"y__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",y__number_crossing_m__m_1,"y__fft_coefficient__attr_""real""__coeff_69","y__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_5","y__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","y__fft_coefficient__attr_""abs""__coeff_28","y__fft_coefficient__attr_""abs""__coeff_95","y__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""real""__coeff_4",y__partial_autocorrelation__lag_4,"y__fft_coefficient__attr_""abs""__coeff_18","y__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","y__fft_coefficient__attr_""angle""__coeff_16"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536---7,0.0,8.299123739765664e-08,0.0212360275510703,-148.0530196668263,0.0001429379746263,130.7571786142786,0.0018485266825947,0.0,-0.0022869634535243,-172.8138014975772,1.0,0.0,0.0011063656218082,1.0,-0.0022894189006848,0.0,0.0012644802962311,0.0065256941943419,-0.0757853798398601,2.35118584764553e-12,1.411268773664807e-10,0.014884591772556,0.0160825614858197,0.0031462849421494,0.0203313868707456,0.0220846980785427,0.044963279304689,0.0024936203177425,-5.4542500124816294e-08,-127.08561995113736
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536---9,0.0,8.04636319265831e-08,0.0146413756389685,-66.68587376263201,-0.0011401773308203,-107.75017073804702,0.0006335933594953,0.0,-0.0019692718290307,23.94268070677029,1.0,0.0,0.0011044407431084,1.0,-0.0030032542904654,0.0,-0.0094170507185465,0.0060923026669668,-0.0212376884230348,2.099224598944348e-12,1.0809470704886984e-10,0.0094160596021111,0.0062246855004909,0.0023599607114135,0.0408740813604169,0.0070163425903131,0.032164013175378,0.0017912275491711,-1.955102592073106e-07,-68.27715928559944
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---0,0.0,9.722060640809737e-08,0.0439948403224269,-74.82488004753442,0.0007886797342971,-142.61798371571717,0.00257843602435,0.0,-0.0018485600180917,-115.44217706952026,1.0,0.0,0.0016299993739417,1.0,-0.0023095847799687,0.0,-0.0074820953521153,0.0085844871729113,-0.0007181046820823,1.078259052341238e-09,2.3747482904290816e-10,0.0371986321450248,0.0284971788287331,0.0044202545600713,0.0524990606072772,-0.0160991512309763,0.0447113789091222,0.0033598253895973,1.2190413567078957e-06,41.45098307198645
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---1,0.0,1.036383180902837e-07,0.0003261643692465,-27.961809359562384,-0.0010634471466524,-133.4000135000141,0.0011541057541694,0.0,-0.001582803122702,135.39649455586564,1.0,0.0,0.0016909957115104,1.0,-0.0035833705601607,0.0,0.0069576506593089,0.0075679316085404,-0.0618162032507507,1.3805205460750355e-09,2.0548188567961117e-10,0.0584389690619819,0.0252599769450183,0.0034336485957938,0.0636849533314828,0.0317498357302134,0.0164711391990479,0.0029516994176406,-6.28056007311872e-07,-8.632527746347813
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---2,0.0,1.071591796896379e-07,0.0119055018692262,-88.84335335769752,-0.000168677764313,-33.22654349389057,0.0025757606295586,0.0,-0.0027659979805289,-49.64759193749387,1.0,0.0,0.001664185184227,1.0,-0.0032439296135735,0.0,-0.0038759871362192,0.0085650985121765,-0.0305217185418944,1.482705970978224e-09,1.5123036343989846e-10,0.0221325966298374,0.0172773473489943,0.0039735227873481,0.0842211706089758,0.0240958280016474,0.0194350885559827,0.0033492375175654,1.243276612012806e-06,10.818378203204178
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---3,0.0,1.1264595882527617e-07,0.0318420778206363,159.87429606235048,0.0003883513431026,134.4326427283363,0.0025499547496365,0.0,-0.0027287257268848,-148.3624663046107,1.0,0.0,0.0016586564863881,1.0,-0.0030074192216443,0.0,-0.0306862784382232,0.0084952002713185,-0.0287480106160851,1.5910525866889579e-09,1.5151892563566204e-10,0.0249225325513506,0.0111630826845681,0.0039117579234143,0.0805582359758253,0.0166982678994941,0.0376761383183947,0.0031488824602266,1.3301790739650272e-06,34.548833736081
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---4,0.0,1.1569341935769369e-07,-0.0328868973380356,-58.74271812869899,0.0026632438778959,-120.07591888642668,0.0039166479137617,0.0,0.0013854801567291,-174.07737548876355,1.0,0.0,0.0016433521694361,1.0,-0.0007623156559694,0.0,0.000253811254693,0.0057090728836632,-0.0437269680552383,2.080110665776825e-09,1.3409640668951283e-10,0.0383314664620041,0.0097153227822859,0.0040919881973201,0.1097120112445518,-0.0240400081763797,0.0153364104040156,0.0039040424318044,2.5474113120908446e-06,-88.3639676507328
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---7,0.0,1.21846699354941e-07,-0.0082198880945257,-54.64274089669266,0.0028470355939588,-166.57713361554363,0.0041773499839685,0.0,0.0016602551144279,-109.23096425548472,1.0,0.0,0.001657587658303,1.0,-0.0005162795765913,0.0,-0.0128433999696923,0.0059926038459274,-0.1028488819303721,1.3664092781186283e-09,3.5416163606286447e-10,0.048688915046332,0.0073858235064919,0.004351574809801,-0.0236509378799285,0.0357206218772786,0.0726657160127322,0.0040872253604627,5.960360626710022e-07,-96.9422630712932
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---8,0.0,1.136671296738968e-07,0.0076371754872644,-13.147153055755805,-0.0003905784177548,-106.52048442085533,0.0026423156613447,0.0,-0.0035033837918697,143.4718078957368,1.0,0.0,0.0016665332971619,1.0,-0.003249012461916,0.0,-0.0027435406119806,0.0072216368050689,-0.0657023088759218,1.653958762759035e-09,1.054641795864928e-10,0.0280788108402402,0.03475988654938,0.0037098056062202,0.102384101972198,-0.0095983613775988,0.0259146881971451,0.0029827179577523,9.887687906131649e-07,-9.414630568140398
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536---9,0.0,1.1569341935769369e-07,-0.0328868973380356,-58.74271812869899,0.0026632438778959,-120.07591888642668,0.0039166479137617,0.0,0.0013854801567291,-174.07737548876355,1.0,0.0,0.0016433521694361,1.0,-0.0007623156559694,0.0,0.000253811254693,0.0057090728836632,-0.0437269680552383,2.080110665776825e-09,1.3409640668951283e-10,0.0383314664620041,0.0097153227822859,0.0040919881973201,0.1097120112445518,-0.0240400081763797,0.0153364104040156,0.0039040424318044,2.5474113120908446e-06,-88.3639676507328
