id,y__percentage_of_reoccurring_values_to_all_values,y__ratio_value_number_to_time_series_length,y__partial_autocorrelation__lag_3,y__ar_coefficient__coeff_9__k_10,y__percentage_of_reoccurring_datapoints_to_all_datapoints,y__longest_strike_above_mean,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",y__partial_autocorrelation__lag_9,y__mean_second_derivative_central,y__range_count__max_1__min_-1,"y__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",y__sum_of_reoccurring_values,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","y__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",y__absolute_maximum,y__maximum,"y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",y__lempel_ziv_complexity__bins_100,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",y__lempel_ziv_complexity__bins_5,y__quantile__q_0.6,y__quantile__q_0.9,y__median,y__quantile__q_0.7,y__quantile__q_0.8,y__lempel_ziv_complexity__bins_10,y__ratio_beyond_r_sigma__r_1,"y__fft_coefficient__attr_""real""__coeff_0","y__fft_coefficient__attr_""abs""__coeff_0",y__mean
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#binarytrees---28,0.2935393258426966,0.712,0.3088737444179512,0.3252650136186195,0.497,22.0,0.0032207115982513,0.1921690389880415,1.885385385385396e-06,2000.0,-5.3144317709481756e-11,205.680686,3.557697543830417e-07,0.2697245393435003,0.497919,0.497919,1.508669774390043e-10,0.439,0.493350481707317,0.1325,0.492277,0.4931342,0.4921415,0.492445,0.4928042,0.21,0.368,984.1503,984.1503,0.49207515
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#binarytrees---3,0.3732021196063588,0.6605,0.1797721939764447,0.2836814739641566,0.586,14.0,0.0032834710279401,0.1106874994504477,1.91341341341341e-06,2000.0,-6.115587492922662e-11,242.575553,3.367934086483803e-07,0.2701594666945459,0.498298,0.498298,1.4655282020629616e-10,0.4295,0.4935739207317072,0.147,0.49221,0.4930012,0.4920664999999999,0.4923853,0.4926622,0.206,0.292,984.246451,984.246451,0.4921232255
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#binarytrees---5,0.3732021196063588,0.6605,0.1797721939764447,0.2836814739641566,0.586,14.0,0.0032834710279401,0.1106874994504477,1.91341341341341e-06,2000.0,-6.115587492922662e-11,242.575553,3.367934086483803e-07,0.2701594666945459,0.498298,0.498298,1.4655282020629616e-10,0.4295,0.4935739207317072,0.147,0.49221,0.4930012,0.4920664999999999,0.4923853,0.4926622,0.206,0.292,984.246451,984.246451,0.4921232255
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#binarytrees---4,0.3611317944899478,0.6715,0.1610874534933453,0.2782782356898802,0.571,25.0,0.0027149710824384,0.1441636975029429,1.6621621621621574e-06,2000.0,-6.669418063869271e-12,239.049198,3.201057653037417e-07,0.2702745953955699,0.498921,0.498921,1.2377819938759366e-10,0.434,0.4953951304878049,0.1515,0.4930964,0.4938405,0.4929445,0.4932673,0.4934872,0.201,0.3065,985.951771,985.951771,0.4929758855
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#binarytrees---6,0.2237179487179487,0.78,0.3357597324328112,0.0453899791853502,0.3945,168.0,0.003043153700348,0.06736486224595,1.815315315315311e-06,2000.0,-6.660672572704334e-11,172.191325,3.385172733825456e-07,0.270009020455929,0.498354,0.498354,1.3725888301067046e-10,0.4555,0.4937376731707317,0.15,0.4939794,0.494926,0.4937905,0.494221,0.494494,0.2225,0.405,986.68713,986.68713,0.493343565
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---0,0.4885799404170804,0.5035,0.0169038403006867,0.0570703590825005,0.7425,7.0,0.002876437261404,0.0658342905887442,8.225725725725825e-07,2000.0,2.3947729562560205e-10,149.59256299999998,1.4757830612269285e-07,0.1681761406594641,0.309446,0.309446,1.2187830937559883e-10,0.4045,0.3055861573170732,0.1225,0.3040624,0.3048418,0.303987,0.3041783,0.304452,0.2055,0.1895,608.2816320000001,608.2816320000001,0.304140816
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---1,0.4885799404170804,0.5035,0.0169038403006867,0.0570703590825005,0.7425,7.0,0.002876437261404,0.0658342905887442,8.225725725725825e-07,2000.0,2.3947729562560205e-10,149.59256299999998,1.4757830612269285e-07,0.1681761406594641,0.309446,0.309446,1.2187830937559883e-10,0.4045,0.3055861573170732,0.1225,0.3040624,0.3048418,0.303987,0.3041783,0.304452,0.2055,0.1895,608.2816320000001,608.2816320000001,0.304140816
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---17,0.4885799404170804,0.5035,0.0169038403006867,0.0570703590825005,0.7425,7.0,0.002876437261404,0.0658342905887442,8.225725725725825e-07,2000.0,2.3947729562560205e-10,149.59256299999998,1.4757830612269285e-07,0.1681761406594641,0.309446,0.309446,1.2187830937559883e-10,0.4045,0.3055861573170732,0.1225,0.3040624,0.3048418,0.303987,0.3041783,0.304452,0.2055,0.1895,608.2816320000001,608.2816320000001,0.304140816
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---10,0.5005107252298263,0.4895,0.0015599214954612,-0.013368793881053,0.7555,7.0,0.0023053365313083,-0.0090047335384792,1.1856856856857045e-06,2000.0,9.606541762885855e-11,148.900812,1.074681943830429e-07,0.1671453056791705,0.308694,0.308694,1.0019101538122219e-10,0.3995,0.3052873243902439,0.0995,0.303944,0.3044192,0.3038695,0.304026,0.3041622,0.1935,0.206,607.9077659999999,607.9077659999999,0.303953883
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---11,0.5194274028629857,0.489,0.0404039828418285,0.0257222426212013,0.765,9.0,0.0023238065863332,0.0286702253994944,1.1656656656656783e-06,2000.0,-1.2984306607391232e-09,154.392161,4.3390775021745473e-07,0.166874576143978,0.315777,0.315777,4.82360041735777e-10,0.3295,0.3066627780487805,0.0345,0.3039874,0.3044672,0.3039185,0.3040713,0.3042022,0.0905,0.137,608.004692,608.004692,0.304002346
