id,y__median,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__quantile__q_0.4,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__quantile__q_0.7,y__quantile__q_0.6,"y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",y__minimum,y__sum_values,y__quantile__q_0.8,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","y__fft_coefficient__attr_""real""__coeff_0","y__fft_coefficient__attr_""abs""__coeff_0",y__mean,y__quantile__q_0.9,y__root_mean_square,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","y__linear_trend__attr_""intercept""","y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","y__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",y__abs_energy,"y__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---1,0.2929365,0.2926497,0.2925448,0.2924627999999999,0.2928146,0.2925508842394015,0.293296,0.2931298,0.2924676935820895,0.29228,586.200205,0.293578,0.2923767451219512,586.200205,586.200205,0.2931001025,0.2940893,0.2931007407554346,0.2931117694289277,0.2931117352686567,0.293111779107946,0.293113728609756,0.2946842670731707,0.2939970716708229,0.29427717,0.2132093507928925,0.159050731004326,171.81608846276902,0.4502367739080523,0.1071174509766184
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---10,0.2929825,0.2927756999999999,0.292629,0.2925389,0.292862,0.2925648492643391,0.293257,0.2931184,0.2924838628358209,0.292318,586.126066,0.2934032,0.2923727975609756,586.126066,586.126066,0.293063033,0.2937981,0.2930634006835876,0.2930686195087282,0.2930685590298507,0.2930686562098951,0.2930695920243902,0.2942742865853659,0.2936528843266833,0.2939066568656716,0.2129935799830594,0.158858074176389,171.77231364045804,0.4497400578455015,0.1066097438608703
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---11,0.2932734999999999,0.2929797,0.292896,0.2927788,0.293147,0.2929155336408977,0.293571,0.2934414,0.2928287717910447,0.292625,586.7696520000001,0.2937272,0.2926996158536585,586.769652,586.769652,0.293384826,0.2941291,0.2933853659876477,0.2934329378229426,0.2934327855074626,0.2934330576926537,0.2934324433902439,0.2950060548780488,0.2941532095137157,0.2944218362686567,0.2149164577694509,0.1602038618328882,172.149945951412,0.4541726853642923,0.1110353948217423
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---12,0.292996,0.292662,0.2925508,0.292467,0.2928446,0.2925495809600997,0.2933199,0.293126,0.2924692846268656,0.292282,586.20751,0.29362,0.2923713426829268,586.20751,586.20751,0.2931037549999999,0.2940501,0.2931043410466604,0.2931076792618453,0.2931076813582089,0.2931076552968515,0.2931092305121952,0.2945140158536585,0.293893898117207,0.2941868176119403,0.2133529054645838,0.1594354775655972,171.82030948079404,0.4501375586622519,0.1072143992378726
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---18,0.292996,0.292662,0.2925508,0.292467,0.2928446,0.2925495809600997,0.2933199,0.293126,0.2924692846268656,0.292282,586.20751,0.29362,0.2923713426829268,586.20751,586.20751,0.2931037549999999,0.2940501,0.2931043410466604,0.2931076792618453,0.2931076813582089,0.2931076552968515,0.2931092305121952,0.2945140158536585,0.293893898117207,0.2941868176119403,0.2133529054645838,0.1594354775655972,171.82030948079404,0.4501375586622519,0.1072143992378726
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---22,0.292996,0.292662,0.2925508,0.292467,0.2928446,0.2925495809600997,0.2933199,0.293126,0.2924692846268656,0.292282,586.20751,0.29362,0.2923713426829268,586.20751,586.20751,0.2931037549999999,0.2940501,0.2931043410466604,0.2931076792618453,0.2931076813582089,0.2931076552968515,0.2931092305121952,0.2945140158536585,0.293893898117207,0.2941868176119403,0.2133529054645838,0.1594354775655972,171.82030948079404,0.4501375586622519,0.1072143992378726
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---27,0.292996,0.292662,0.2925508,0.292467,0.2928446,0.2925495809600997,0.2933199,0.293126,0.2924692846268656,0.292282,586.20751,0.29362,0.2923713426829268,586.20751,586.20751,0.2931037549999999,0.2940501,0.2931043410466604,0.2931076792618453,0.2931076813582089,0.2931076552968515,0.2931092305121952,0.2945140158536585,0.293893898117207,0.2941868176119403,0.2133529054645838,0.1594354775655972,171.82030948079404,0.4501375586622519,0.1072143992378726
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---13,0.293774,0.29346,0.293341,0.2932429,0.29361,0.2933070634663342,0.294202,0.293944,0.2932209353731343,0.292965,587.881927,0.294547,0.2930571719512195,587.8819269999999,587.8819269999999,0.2939409635,0.2949945,0.2939417054390249,0.2939528814264339,0.2939528491343283,0.2939529254137931,0.2939529298780488,0.2957468073170732,0.2948512890024937,0.2951080153731343,0.2134272984480295,0.1595733443719719,172.803452392805,0.4513619581426601,0.1070287199412573
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---3,0.293774,0.29346,0.293341,0.2932429,0.29361,0.2933070634663342,0.294202,0.293944,0.2932209353731343,0.292965,587.881927,0.294547,0.2930571719512195,587.8819269999999,587.8819269999999,0.2939409635,0.2949945,0.2939417054390249,0.2939528814264339,0.2939528491343283,0.2939529254137931,0.2939529298780488,0.2957468073170732,0.2948512890024937,0.2951080153731343,0.2134272984480295,0.1595733443719719,172.803452392805,0.4513619581426601,0.1070287199412573
warmup_results_0_8_openbsd1_i7_4790___LuaJIT-default-lua.json#nbody---7,0.293774,0.29346,0.293341,0.2932429,0.29361,0.2933070634663342,0.294202,0.293944,0.2932209353731343,0.292965,587.881927,0.294547,0.2930571719512195,587.8819269999999,587.8819269999999,0.2939409635,0.2949945,0.2939417054390249,0.2939528814264339,0.2939528491343283,0.2939529254137931,0.2939529298780488,0.2957468073170732,0.2948512890024937,0.2951080153731343,0.2134272984480295,0.1595733443719719,172.803452392805,0.4513619581426601,0.1070287199412573
