id,AR,EncDecAD,FCVAE,FITS,LSTMADalpha
132,0.6480797428378073,0.6725076199390405,0.8328703703703704,0.5646890396684856,0.6973706317204301
133,0.5840632689331784,0.5477805314343775,0.660842982994085,0.19342649303042428,0.6186202686202686
134,0.47888888888888886,0.8433333333333334,0.9666666666666666,0.5505555555555556,0.8433333333333333
135,0.8875,1.0,1.0,1.0,1.0
136,0.5511111111111111,0.7583333333333333,0.5321245421245422,0.6985754985754986,0.8188235294117647
137,0.3285252889904383,0.2037737829469264,0.6316263736263737,0.08486643975909669,0.18472748599769293
14,0.7949856751065185,0.8750998801438274,0.8207578913810573,0.8752871088142405,0.8751006339941633
140,7.95798185580137e-05,7.897022822395957e-05,0.00011461318051575932,9.563886763580719e-05,0.00010390689941812137
142,0.00019036740909956216,1.0,1.0,1.0,0.25
143,0.09899481193255513,0.5761494252873564,1.0,0.11726190476190475,0.5384615384615384
144,0.9706313686313688,0.8635178009109933,0.6609570069164555,0.84044238295369,0.924967840375587
145,0.8337788639278155,0.9230222256486789,0.5838436404947854,0.7994698799403819,0.9336104875704443
146,0.7808459515355054,0.928688141923436,0.872093350342623,0.8981509554413658,0.968189415745089
147,0.9818654506448119,0.9783915360002315,0.8440074140499836,0.9180304320718276,0.984375
148,0.6823051339498708,0.9835445962896944,0.8473017287328882,0.9092645987235539,0.9868125701459036
149,0.8709859582166717,0.8865922070243194,0.5477096641951438,0.8807046775960228,0.9794398610508033
15,0.005967710870922706,0.002228985361954942,0.0016526851606155249,0.009124426410114581,0.002163793912524547
150,0.15051385122941227,0.15197025717429297,0.15459552134772087,0.144485697260019,0.15323590603402631
151,0.13147831375409103,0.12592455035116035,0.12700385130237885,0.1279383823738339,0.12640644071982204
152,0.004081304912976143,0.000784088745469513,0.0008623550236552106,0.009742161404008121,0.0013178304524617177
153,0.0015543809367186542,0.0026507104406342206,0.0009437684832944852,0.0012983331876199084,0.0009404038180079416
154,0.22337674636547947,0.2704440264199699,0.2699110547877808,0.17858562117602514,0.28117053543090287
155,0.0019692224949311183,0.0016226171790811282,0.0014466370422692612,0.0015556753132363122,0.0014552791683696193
156,0.0042638519744657224,0.023014467628370165,0.0026421662148712797,0.004408983997709971,0.011376918004763602
157,0.20614221226539764,0.20138945622817847,0.20266930823257379,0.20612364221515095,0.20160351201234775
158,0.24095753182516716,0.2231018132509153,0.22385062706874345,0.2314926653015874,0.23604151118101932
159,0.08580681122315596,0.08635036561485795,0.004296977918867254,0.08461684839582015,0.08602728044592191
16,0.14382716049382716,0.2781946181279237,0.3001349892008639,0.1670733360444625,0.27871851155012023
160,0.28504026074799527,0.3033749922368565,0.3427063959253944,0.31057063227956266,0.2925646146844056
161,0.2597044051341932,0.30428653765458225,0.3229369555400997,0.2012008489852566,0.30579933849248736
163,0.0007837721469560791,0.0002060062121943404,0.0004773279477677912,0.000868235137455206,0.0001822400116049643
164,0.0006054088579229497,0.0007683399065876666,0.0003004836255524168,0.00176017874325437,0.0033167943257175186
165,0.8334636604544072,0.8334747960579053,0.833431874917882,0.8338590956887486,0.8334342313254632
166,0.509009009009009,1.0,1.0,1.0,1.0
167,0.36095779716153864,0.42330923978012014,0.3990870633437692,0.35642059515656715,0.4239616994160713
168,0.0027062099637565704,0.04873539032831165,0.010646390394155417,0.007354868173258182,0.049369465485043895
169,0.0020413826818462587,0.0008720698216502081,0.001727706815047862,0.0026384525739307847,0.00209274877919388
17,0.00035191762681154623,0.0002453348060857873,0.0007486841689611001,0.0011145135837698859,0.0002942127879977158
170,0.17334718807901808,0.16946177676888352,0.16957690233670314,0.1671119385212133,0.17276395550586357
171,0.20987345636132027,0.20687737171077036,0.20087708449966893,0.2016493582332334,0.20427182247491607
172,0.08829476141827439,0.1549195227484005,0.1550801767465321,0.08709622250621399,0.15518198874701836
173,0.09416548271630029,0.09360958149100469,0.0970721014501851,0.0926118701244704,0.0926878739496873
174,1.0,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0,1.0
177,0.08544621178336058,0.14968841363290478,0.1890374873353597,0.09127347539250168,0.13718354298999458
178,0.00847457627118644,0.1111111111111111,0.07692307692307693,0.019230769230769232,0.08333333333333333
179,0.045646557743331935,0.13530927835051546,0.12850877192982457,0.07153551186274959,0.1425438596491228
180,0.0005911395279598543,0.0006876997394417772,0.00036515240654973126,0.002823699400216997,0.0008038647672500262
181,0.22409789765614166,0.23038258792554908,0.22742001255231276,0.22433581976386374,0.23086587043110293
182,0.005290164812237233,0.0008364012330620608,0.0007994753140618256,0.0006767040339755933,0.0008972055057308862
183,0.21513374633935978,0.12563066165792766,0.09609402856607484,0.0659761310686758,0.12231136542201931
184,0.019946151916036915,0.2235519077360086,0.2233157042884586,0.017885792231230366,0.22326382594944041
185,0.0035086918767805583,0.0020518370540142336,0.003367644958171565,0.0021112405463028345,0.002945308378344551
186,0.0010457348349170686,0.0006173366587054166,0.0005715828875351816,0.0007495741251032913,0.000531862502563819
187,0.000462962962962963,0.001141552511415525,9.434852344560808e-05,0.00076103500761035,0.0009970089730807576
188,0.0008280190167912413,0.005433023408641782,0.002721475588747904,0.0026604647495563905,0.0021209410559452184
19,0.03135808473843493,0.01865070622506181,0.1000936680404646,0.013487058660476075,0.06273142791020597
190,0.00028211250363523584,0.0002270324763904095,0.0003335352414025199,0.0011716255205212376,0.0002920507058355576
191,0.008944005832041456,0.0280594110501487,0.01275723886394754,0.021530922466045488,0.016006033169780175
192,0.020269998020518955,0.05066805719920045,0.007258316559891554,0.029197785188866354,0.050773291243167915
193,9.485866059571239e-05,0.000715307582260372,0.00012691965985531158,0.0003022974607013301,0.00035423308537017357
194,0.0006214393435391289,0.0002659905527038753,0.0006672771094481807,0.0004873941896247795,0.00035780481346767563
